unix	unixinsert	unixdelete	bives	bivesinsert	bivesdelete	bivesmove	bivesupdate	bivestriggeredinsert	bivestriggereddelete	bivestriggeredmove	bivestriggeredupdate	bivesnode	bivesattribute	bivestext	modeltype	model	version1	version2
104	71	33	51	44	0	7	0	38	0	0	0	32	10	9	SBML	"MODEL0568648427.xml"	2012-08-11	2012-12-12
93	34	59	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL0568648427.xml"	2012-12-12	2013-06-18
8	4	4	5	1	1	1	2	0	0	0	0	3	0	2	SBML	"BIOMD0000000108.xml"	2007-06-05	2007-09-25
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000108.xml"	2007-09-25	2008-03-28
1211	600	611	103	51	50	0	2	25	25	0	0	50	51	2	SBML	"BIOMD0000000108.xml"	2008-03-28	2008-08-21
1175	587	588	8	6	0	1	1	3	0	0	0	3	2	3	SBML	"BIOMD0000000108.xml"	2008-08-21	2008-12-03
15	2	13	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000108.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000108.xml"	2009-06-16	2009-09-02
15	10	5	23	12	8	2	1	7	4	0	0	13	9	1	SBML	"BIOMD0000000108.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000108.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000108.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000108.xml"	2011-09-01	2012-02-08
13	9	4	26	13	9	3	1	10	3	0	0	11	5	10	SBML	"BIOMD0000000108.xml"	2012-02-08	2012-05-20
1218	618	600	167	83	80	0	4	54	48	0	0	77	68	22	SBML	"BIOMD0000000108.xml"	2012-05-20	2012-08-11
160	80	80	58	49	0	8	1	0	0	0	0	8	49	1	SBML	"BIOMD0000000108.xml"	2012-08-11	2012-12-12
495	248	247	60	29	29	1	1	14	14	0	0	31	28	1	SBML	"BIOMD0000000108.xml"	2013-11-04	2014-04-11
7	6	1	5	4	0	0	1	3	0	0	0	3	1	1	SBML	"BIOMD0000000108.xml"	2014-09-16	2015-04-16
5	4	1	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"BIOMD0000000382.xml"	2012-02-08	2012-05-20
665	332	333	66	29	28	9	0	15	17	0	0	32	23	11	SBML	"BIOMD0000000382.xml"	2012-05-20	2012-08-11
17	7	10	9	0	4	4	1	0	3	0	0	6	1	2	SBML	"BIOMD0000000382.xml"	2012-08-11	2012-12-12
226	114	112	19	10	8	1	0	4	3	0	0	10	7	2	SBML	"BIOMD0000000382.xml"	2013-11-04	2014-04-11
7	6	1	6	5	1	0	0	3	0	0	0	3	1	2	SBML	"BIOMD0000000382.xml"	2014-09-16	2015-04-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL5951818256.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL5951818256.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL5951818256.xml"	2010-09-30	2011-04-15
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL7434234848.xml"	2009-06-16	2009-09-02
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7434234848.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL7434234848.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7434234848.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7434234848.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL7434234848.xml"	2012-02-08	2012-05-20
7333	3679	3654	1110	1086	5	4	15	24	2	0	0	23	1082	5	SBML	"MODEL7434234848.xml"	2012-05-20	2012-08-11
558	293	265	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL7434234848.xml"	2012-08-11	2012-12-12
555	265	290	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL7434234848.xml"	2012-12-12	2013-06-18
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL0911270002.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL0911270002.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230020.xml"	2010-09-30	2011-04-15
82	54	28	41	36	0	4	1	35	0	0	0	26	8	7	SBML	"MODEL1006230020.xml"	2011-09-01	2012-02-08
8	5	3	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1006230020.xml"	2012-02-08	2012-05-20
4733	2379	2354	95	83	4	3	5	24	2	0	0	22	68	5	SBML	"MODEL1006230020.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230020.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230020.xml"	2012-12-12	2013-06-18
51	46	5	72	59	9	3	1	52	3	0	0	35	15	22	SBML	"BIOMD0000000392.xml"	2012-02-08	2012-05-20
885	445	440	273	113	109	9	42	56	57	0	0	116	147	10	SBML	"BIOMD0000000392.xml"	2012-05-20	2012-08-11
444	218	226	187	161	21	5	0	1	18	0	0	14	166	7	SBML	"BIOMD0000000392.xml"	2012-08-11	2012-12-12
114	55	59	69	2	46	15	6	1	8	0	0	19	47	3	SBML	"BIOMD0000000195.xml"	2008-12-03	2009-03-25
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000195.xml"	2009-09-02	2010-01-26
6	2	4	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000195.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000195.xml"	2010-09-30	2011-04-15
4	2	2	3	1	1	0	1	0	0	0	0	0	0	3	SBML	"BIOMD0000000195.xml"	2011-09-01	2012-02-08
11	7	4	24	11	8	4	1	8	3	0	0	7	5	12	SBML	"BIOMD0000000195.xml"	2012-02-08	2012-05-20
2306	1103	1203	310	154	154	2	0	92	82	0	0	145	126	39	SBML	"BIOMD0000000195.xml"	2012-05-20	2012-08-11
234	117	117	80	61	0	18	1	0	0	0	0	18	61	1	SBML	"BIOMD0000000195.xml"	2012-08-11	2012-12-12
186	141	45	770	400	290	77	3	287	186	0	0	531	10	229	SBML	"BIOMD0000000022.xml"	2005-06-01	2005-07-28
1307	682	625	316	107	116	90	3	42	57	0	0	241	33	42	SBML	"BIOMD0000000022.xml"	2005-07-28	2006-01-31
298	151	147	34	13	11	9	1	3	1	0	0	31	2	1	SBML	"BIOMD0000000022.xml"	2006-01-31	2006-06-05
674	36	638	563	25	427	111	0	8	364	0	0	417	108	38	SBML	"BIOMD0000000022.xml"	2006-10-03	2007-01-05
662	648	14	554	447	0	107	0	400	0	0	0	429	115	10	SBML	"BIOMD0000000022.xml"	2007-01-05	2007-06-05
40	20	20	15	1	0	12	2	0	0	0	0	12	1	2	SBML	"BIOMD0000000022.xml"	2007-06-05	2007-09-25
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000022.xml"	2007-09-25	2008-03-28
1119	539	580	252	122	125	2	3	61	61	0	0	124	125	3	SBML	"BIOMD0000000022.xml"	2008-03-28	2008-08-21
3097	1550	1547	9	7	0	1	1	3	0	0	0	3	3	3	SBML	"BIOMD0000000022.xml"	2008-08-21	2008-12-03
10	1	9	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000022.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000022.xml"	2009-06-16	2009-09-02
13	9	4	20	10	6	3	1	6	3	0	0	12	7	1	SBML	"BIOMD0000000022.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000022.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000022.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000022.xml"	2011-09-01	2012-02-08
3102	1552	1550	128	91	19	13	5	17	12	0	0	37	80	11	SBML	"BIOMD0000000022.xml"	2012-02-08	2012-05-20
3122	1564	1558	259	127	127	4	1	62	63	0	0	129	128	2	SBML	"BIOMD0000000022.xml"	2012-05-20	2012-08-11
340	170	170	143	120	10	10	3	9	9	0	0	24	118	1	SBML	"BIOMD0000000022.xml"	2012-08-11	2012-12-12
1099	550	549	175	87	85	2	1	44	42	0	0	91	83	1	SBML	"BIOMD0000000022.xml"	2013-11-04	2014-04-11
8	6	2	7	4	2	0	1	3	1	0	0	4	2	1	SBML	"BIOMD0000000022.xml"	2014-09-16	2015-04-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1106200000.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1106200000.xml"	2012-02-08	2012-05-20
148655	76278	72377	12388	12322	6	4	56	8	3	0	0	16	12372	0	SBML	"MODEL1106200000.xml"	2012-05-20	2012-08-11
19	17	2	20	16	4	0	0	11	2	0	0	13	7	0	SBML	"MODEL1106200000.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1106200000.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000352.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"BIOMD0000000352.xml"	2012-02-08	2012-05-20
1406	706	700	130	61	60	9	0	31	33	0	0	64	55	11	SBML	"BIOMD0000000352.xml"	2012-05-20	2012-08-11
123	60	63	46	37	4	4	1	0	3	0	0	6	38	2	SBML	"BIOMD0000000352.xml"	2012-08-11	2012-12-12
6	3	3	4	0	0	0	4	0	0	0	0	0	2	2	SBML	"MODEL1006230022.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230022.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1006230022.xml"	2012-02-08	2012-05-20
710	362	348	56	48	4	4	0	24	2	0	0	23	28	5	SBML	"MODEL1006230022.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230022.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230022.xml"	2012-12-12	2013-06-18
20886	17604	3282	17008	11866	2339	1885	918	10952	0	0	0	10309	6694	5	SBML	"MODEL1008120001.xml"	2011-09-01	2012-02-08
8	5	3	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1008120001.xml"	2012-02-08	2012-05-20
82402	41673	40729	21174	16109	5060	5	0	2565	2530	0	0	5087	16078	9	SBML	"MODEL1008120001.xml"	2012-05-20	2012-08-11
3694	1866	1828	1886	48	4	8	1826	40	2	0	0	37	1840	9	SBML	"MODEL1008120001.xml"	2012-08-11	2012-12-12
1851	913	938	23	0	20	3	0	0	15	0	0	18	5	0	SBML	"MODEL1008120001.xml"	2012-12-12	2013-06-18
328	176	152	43	37	0	5	1	35	0	0	0	24	6	13	SBML	"BIOMD0000000056.xml"	2006-10-03	2007-01-05
2264	130	2134	1799	13	1513	273	0	12	1360	0	0	1344	433	22	SBML	"BIOMD0000000056.xml"	2007-01-05	2007-06-05
2244	2118	126	1759	1485	0	273	1	1335	0	0	0	1323	425	11	SBML	"BIOMD0000000056.xml"	2007-06-05	2007-09-25
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000056.xml"	2007-09-25	2008-03-28
3749	1803	1946	1077	536	537	2	2	268	268	0	0	538	537	2	SBML	"BIOMD0000000056.xml"	2008-03-28	2008-08-21
9258	4669	4589	1970	647	585	41	697	304	260	0	0	578	850	542	SBML	"BIOMD0000000056.xml"	2008-08-21	2008-12-03
442	193	249	520	150	211	135	24	99	158	0	0	351	51	118	SBML	"BIOMD0000000056.xml"	2008-12-03	2009-03-25
21	18	3	23	16	4	2	1	11	2	0	0	15	7	1	SBML	"BIOMD0000000056.xml"	2009-03-25	2009-06-16
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000056.xml"	2009-06-16	2009-09-02
35	20	15	29	8	4	14	3	5	2	0	0	21	6	2	SBML	"BIOMD0000000056.xml"	2009-09-02	2010-01-26
11	2	9	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000056.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000056.xml"	2010-09-30	2011-04-15
36	14	22	36	14	20	1	1	10	15	0	0	25	10	1	SBML	"BIOMD0000000056.xml"	2011-04-15	2011-09-01
8	4	4	10	4	4	0	2	2	2	0	0	4	4	2	SBML	"BIOMD0000000056.xml"	2011-09-01	2012-02-08
19	13	6	32	13	8	9	2	8	3	0	0	14	5	13	SBML	"BIOMD0000000056.xml"	2012-02-08	2012-05-20
9292	4631	4661	1144	567	564	10	3	284	281	0	0	567	565	12	SBML	"BIOMD0000000056.xml"	2012-05-20	2012-08-11
993	495	498	319	305	5	6	3	0	3	0	0	8	306	5	SBML	"BIOMD0000000056.xml"	2012-08-11	2012-12-12
328	171	157	327	122	77	102	26	109	66	0	0	211	85	31	SBML	"BIOMD0000000056.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000263.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000263.xml"	2011-04-15	2011-09-01
24	2	22	19	0	16	1	2	0	12	0	0	13	4	2	SBML	"BIOMD0000000263.xml"	2011-09-01	2012-02-08
5	4	1	24	11	8	4	1	8	3	0	0	7	5	12	SBML	"BIOMD0000000263.xml"	2012-02-08	2012-05-20
1685	847	838	233	112	111	8	2	58	55	0	0	113	108	12	SBML	"BIOMD0000000263.xml"	2012-05-20	2012-08-11
181	89	92	71	59	5	4	3	0	3	0	0	6	60	5	SBML	"BIOMD0000000263.xml"	2012-08-11	2012-12-12
200	102	98	126	34	32	1	59	17	16	0	0	35	90	1	SBML	"BIOMD0000000263.xml"	2013-11-04	2014-04-11
6	3	3	21	9	9	3	0	7	3	0	0	8	4	9	SBML	"MODEL1202030001.xml"	2012-02-08	2012-05-20
688	346	342	115	99	6	4	6	8	3	0	0	16	99	0	SBML	"MODEL1202030001.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1202030001.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1202030001.xml"	2012-12-12	2013-06-18
13	1	12	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000197.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000197.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000197.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000197.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000197.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000197.xml"	2011-09-01	2012-02-08
10	5	5	27	13	13	0	1	9	6	0	0	8	8	11	SBML	"BIOMD0000000197.xml"	2012-02-08	2012-05-20
1216	601	615	116	58	55	2	1	29	29	0	0	56	56	4	SBML	"BIOMD0000000197.xml"	2012-05-20	2012-08-11
130	65	65	43	38	0	4	1	0	0	0	0	4	38	1	SBML	"BIOMD0000000197.xml"	2012-08-11	2012-12-12
526	263	263	53	25	25	2	1	12	12	0	0	28	24	1	SBML	"BIOMD0000000197.xml"	2013-11-04	2014-04-11
434	158	276	436	78	228	127	3	41	117	0	0	323	107	6	SBML	"BIOMD0000000424.xml"	2012-08-11	2012-12-12
1805	916	889	100	54	44	1	1	31	23	0	0	54	45	1	SBML	"BIOMD0000000424.xml"	2013-11-04	2014-04-11
94	74	20	94	56	35	1	2	45	16	0	0	38	23	33	SBML	"BIOMD0000000424.xml"	2014-09-16	2015-04-16
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000141.xml"	2007-09-25	2008-03-28
346	179	167	31	15	14	0	2	7	7	0	0	14	15	2	SBML	"BIOMD0000000141.xml"	2008-03-28	2008-08-21
328	164	164	7	6	0	1	0	3	0	0	0	3	2	2	SBML	"BIOMD0000000141.xml"	2008-08-21	2008-12-03
21	2	19	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000141.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000141.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000141.xml"	2009-09-02	2010-01-26
84	46	38	147	74	67	4	2	71	61	0	0	67	33	47	SBML	"BIOMD0000000141.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000141.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000141.xml"	2011-09-01	2012-02-08
11	7	4	28	12	9	5	2	8	3	0	0	10	5	13	SBML	"BIOMD0000000141.xml"	2012-02-08	2012-05-20
370	188	182	68	30	29	8	1	17	14	0	0	31	25	12	SBML	"BIOMD0000000141.xml"	2012-05-20	2012-08-11
21	9	12	16	4	5	4	3	0	3	0	0	6	5	5	SBML	"BIOMD0000000141.xml"	2012-08-11	2012-12-12
183	90	93	19	5	9	1	4	2	4	0	0	9	9	1	SBML	"BIOMD0000000141.xml"	2014-09-16	2015-04-16
52	26	26	50	14	14	19	3	12	12	0	0	37	11	2	SBML	"BIOMD0000000116.xml"	2007-09-25	2008-03-28
516	254	262	150	74	74	0	2	37	37	0	0	74	74	2	SBML	"BIOMD0000000116.xml"	2008-03-28	2008-08-21
1091	547	544	10	8	1	1	0	3	0	0	0	3	3	4	SBML	"BIOMD0000000116.xml"	2008-08-21	2008-12-03
15	2	13	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000116.xml"	2008-12-03	2009-03-25
6	3	3	9	4	4	0	1	2	2	0	0	4	4	1	SBML	"BIOMD0000000116.xml"	2009-03-25	2009-06-16
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000116.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000116.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000116.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000116.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000116.xml"	2011-09-01	2012-02-08
12	6	6	26	11	11	4	0	7	3	0	0	11	4	11	SBML	"BIOMD0000000116.xml"	2012-02-08	2012-05-20
1123	567	556	206	105	101	0	0	64	56	0	0	97	87	22	SBML	"BIOMD0000000116.xml"	2012-05-20	2012-08-11
128	64	64	73	40	12	18	3	11	11	0	0	34	38	1	SBML	"BIOMD0000000116.xml"	2012-08-11	2012-12-12
2	1	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000248.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000248.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000248.xml"	2011-09-01	2012-02-08
18	16	2	35	21	8	4	2	16	3	0	0	14	8	13	SBML	"BIOMD0000000248.xml"	2012-02-08	2012-05-20
1819	912	907	184	88	87	8	1	46	43	0	0	89	83	12	SBML	"BIOMD0000000248.xml"	2012-05-20	2012-08-11
109	53	56	50	36	7	4	3	1	4	0	0	8	37	5	SBML	"BIOMD0000000248.xml"	2012-08-11	2012-12-12
590	293	297	115	41	39	1	34	20	19	0	0	42	72	1	SBML	"BIOMD0000000248.xml"	2013-11-04	2014-04-11
74	40	34	42	6	0	2	34	5	0	0	0	6	35	1	SBML	"BIOMD0000000248.xml"	2014-04-11	2014-09-16
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"MODEL7910499126.xml"	2009-06-16	2009-09-02
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7910499126.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL7910499126.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7910499126.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL7910499126.xml"	2011-09-01	2012-02-08
6	4	2	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL7910499126.xml"	2012-02-08	2012-05-20
4407	2202	2205	96	80	7	4	5	8	4	0	0	16	80	0	SBML	"MODEL7910499126.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL7910499126.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL7910499126.xml"	2012-12-12	2013-06-18
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1172501439.xml"	2009-09-02	2010-01-26
2	1	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"MODEL1172501439.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1172501439.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1172501439.xml"	2011-09-01	2012-02-08
5	4	1	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1172501439.xml"	2012-02-08	2012-05-20
1206	602	604	48	34	7	4	3	8	4	0	0	16	32	0	SBML	"MODEL1172501439.xml"	2012-05-20	2012-08-11
15	15	0	12	12	0	0	0	9	0	0	0	9	3	0	SBML	"MODEL1172501439.xml"	2012-08-11	2012-12-12
33	1	32	30	0	28	2	0	0	21	0	0	21	7	2	SBML	"MODEL1172501439.xml"	2012-12-12	2013-06-18
70	46	24	25	15	4	4	2	11	2	0	0	16	7	2	SBML	"BIOMD0000000153.xml"	2008-03-28	2008-08-21
9045	5003	4042	741	739	0	1	1	661	0	0	0	517	221	3	SBML	"BIOMD0000000153.xml"	2008-08-21	2008-12-03
10	1	9	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000153.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000153.xml"	2009-06-16	2009-09-02
7	6	1	6	4	0	1	1	3	0	0	0	4	1	1	SBML	"BIOMD0000000153.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000153.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000153.xml"	2010-09-30	2011-04-15
25	23	2	28	27	1	0	0	24	0	0	0	14	4	10	SBML	"BIOMD0000000153.xml"	2011-04-15	2011-09-01
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000153.xml"	2011-09-01	2012-02-08
23	17	6	39	24	14	0	1	17	6	0	0	15	11	13	SBML	"BIOMD0000000153.xml"	2012-02-08	2012-05-20
10085	5044	5041	634	311	309	0	14	156	156	0	0	307	323	4	SBML	"BIOMD0000000153.xml"	2012-05-20	2012-08-11
1788	894	894	830	795	0	34	1	0	0	0	0	34	795	1	SBML	"BIOMD0000000153.xml"	2012-08-11	2012-12-12
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"MODEL1006230021.xml"	2010-09-30	2011-04-15
82	54	28	41	36	0	4	1	35	0	0	0	26	8	7	SBML	"MODEL1006230021.xml"	2011-09-01	2012-02-08
8	5	3	21	10	7	4	0	8	3	0	0	7	4	10	SBML	"MODEL1006230021.xml"	2012-02-08	2012-05-20
4733	2379	2354	95	83	4	3	5	24	2	0	0	22	68	5	SBML	"MODEL1006230021.xml"	2012-05-20	2012-08-11
28	28	0	36	30	0	6	0	25	0	0	0	24	7	5	SBML	"MODEL1006230021.xml"	2012-08-11	2012-12-12
27	1	26	20	0	20	0	0	0	15	0	0	15	5	0	SBML	"MODEL1006230021.xml"	2012-12-12	2013-06-18
13	6	7	7	0	2	4	1	0	1	0	0	5	1	1	SBML	"BIOMD0000000523.xml"	2014-09-16	2015-04-16
191	75	116	159	58	84	11	6	16	61	0	0	78	67	14	SBML	"BIOMD0000000054.xml"	2006-06-05	2006-10-03
214	175	39	154	154	0	0	0	143	0	0	0	95	49	10	SBML	"BIOMD0000000054.xml"	2006-10-03	2007-01-05
40	28	12	34	10	2	21	1	0	0	0	0	33	0	1	SBML	"BIOMD0000000054.xml"	2007-01-05	2007-06-05
4	2	2	2	0	0	0	2	0	0	0	0	0	0	2	SBML	"BIOMD0000000054.xml"	2007-06-05	2007-09-25
60	20	40	45	0	17	26	2	0	13	0	0	37	6	2	SBML	"BIOMD0000000054.xml"	2007-09-25	2008-03-28
467	182	285	268	82	184	0	2	56	140	0	0	161	105	2	SBML	"BIOMD0000000054.xml"	2008-03-28	2008-08-21
787	395	392	9	7	0	1	1	3	0	0	0	3	3	3	SBML	"BIOMD0000000054.xml"	2008-08-21	2008-12-03
10	1	9	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000054.xml"	2008-12-03	2009-03-25
2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	SBML	"BIOMD0000000054.xml"	2009-06-16	2009-09-02
7	6	1	8	4	0	3	1	3	0	0	0	6	1	1	SBML	"BIOMD0000000054.xml"	2009-09-02	2010-01-26
4	3	1	5	1	1	0	3	0	0	0	0	0	1	4	SBML	"BIOMD0000000054.xml"	2010-04-27	2010-09-30
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000054.xml"	2010-09-30	2011-04-15
2	1	1	1	0	0	0	1	0	0	0	0	0	0	1	SBML	"BIOMD0000000054.xml"	2011-09-01	2012-02-08
16	8	8	31	14	14	1	2	9	6	0	0	11	8	12	SBML	"BIOMD0000000054.xml"	2012-02-08	2012-05-20
